sample_id,miR21_expression,miR21_log2,miR21_zscore
P-129,83906.22656,16.3565,-0.08660395133141763
P-133,79667.89844,16.2817,-0.21467653977143245
P-138,183244.4063,17.4834,1.8428746571318586
P-146,138533.5156,17.0799,1.1520018037154645
P-148,82201.88281,16.3269,-0.13728508258575875
P-149,110281.3594,16.7508,0.5885166585870071
P-162,84985.71875,16.3749,-0.05509946433547847
P-166,130786.5703,16.9969,1.0098891721576961
P-172,106683.5703,16.703,0.5066734804127688
P-174,126133.2578,16.9446,0.9203410922725003
P-177,15925.49023,13.9591,-4.191433142856721
P-180,30293.16992,14.8868,-2.6030248501320936
P-182,29499.30078,14.8484,-2.668773344732314
P-184,20502.67969,14.3236,-3.5673361042686764
P-188,29494.94922,14.8482,-2.669115784808356
P-189,16753.09961,14.0322,-4.0662712950630695
P-190,124710.2813,16.9282,0.8922610060369874
P-191,88308.89063,16.4303,0.039756436728381
P-193,87830.1875,16.4224,0.02623005372469066
P-194,90916.72656,16.4723,0.11166885269737624
P-196,86450.71094,16.3996,-0.012808114944191254
P-198,37554.48047,15.1967,-2.0724139523037404
P-200,125572.8828,16.9382,0.9093830098391251
P-202,82310.03906,16.3288,-0.13403190186334735
P-203,71506.07031,16.1258,-0.48160857904681015
P-208,60770.12109,15.8911,-0.8834620082830644
P-210,77880.79688,16.249,-0.2706654922044371
P-214,94977.71875,16.5353,0.219537476650863
P-215,73942.64844,16.1741,-0.39890930068247293
P-227,70591.07031,16.1072,-0.5134555061187974
P-231,87463.57813,16.4164,0.015956851443405626
P-232,142039.7656,17.1159,1.2136410174031746
P-235,97594.32031,16.5745,0.28665573155525775
P-236,102792.6875,16.6494,0.4148995400332936
P-239,99835.28906,16.6073,0.3428159040262774
P-240,63368.89844,15.9515,-0.7800451053181331
P-244,40116.53125,15.2919,-1.9094124761073572
P-246,78512.9375,16.2607,-0.2506327477559301
P-247,83188.52344,16.3441,-0.10783523604607174
P-251,66175.22656,16.014,-0.6730325815547514
P-252,117442.4297,16.8416,0.7439844531104446
P-257,66019.64844,16.0106,-0.678854062847478
P-258,97233.1875,16.5692,0.2775810695401198
P-261,54090.39063,15.7231,-1.1711116721590333
P-265,99447.28125,16.6017,0.33322758189708246
P-270,108190.9297,16.7232,0.5412599280930922
P-272,121266.5703,16.8878,0.8230881106763345
P-274,36978.33984,15.1744,-2.1105960207825145
P-276,85274.21875,16.3798,-0.04670968247243065
P-278,60529.14844,15.8854,-0.8932215504502834
P-281,90113.67969,16.4595,0.08975268783063199
P-283,81700.54688,16.3181,-0.1523524459316382
P-284,94152.14844,16.5227,0.19796375186016688
P-288,60583.94141,15.8867,-0.8909956899560072
P-289,108095.2891,16.722,0.5392052876368401
P-290,82696.53906,16.3356,-0.12238893927789424
P-291,80254.20313,16.2923,-0.19652721574116264
P-292,76801.60938,16.2289,-0.3050807198467395
P-293,119450.1875,16.8661,0.7859333624256898
P-294,69262.96875,16.0798,-0.5603697965366641
P-302,82761.13281,16.3367,-0.12050551885965702
P-303,50248.98828,15.6168,-1.3531185725757946
P-308,117591.3281,16.8434,0.7470664137948289
P-318,72041.07813,16.1366,-0.46311681494049833
P-319,71300.95313,16.1217,-0.4886286006056899
P-322,69066.63281,16.0757,-0.5673898180955378
P-325,65156.87109,15.9917,-0.7112146500335252
P-326,108456.2422,16.7268,0.5474238494618668
P-331,63964.41016,15.965,-0.7569304001852418
P-332,57317.46875,15.8067,-1.027971720373136
P-333,53610.01953,15.7102,-1.1931990570637954
P-340,99523.95313,16.6028,0.3351110023153136
P-343,51949.01953,15.6648,-1.2709329543255172
P-346,78955.0,16.2688,-0.2367639246761977
P-349,36448.57813,15.1536,-2.146209788690967
P-350,126294.5313,16.9464,0.9234230529568845
P-351,68391.32813,16.0615,-0.5917030634945822
P-352,82649.07813,16.3347,-0.12392991962008333
P-355,50808.16016,15.6328,-1.3257233664923687
P-360,29827.71094,14.8644,-2.6413781386488884
P-361,61722.98828,15.9135,-0.8451087197662666
P-368,65288.10156,15.9946,-0.7062492689309037
P-371,114610.1563,16.8064,0.6837149997269085
P-372,28966.58984,14.8222,-2.713632994693923
P-374,78527.45313,16.2609,-0.250290307679888
P-376,38149.46094,15.2194,-2.0335470036728798
P-389,39170.67969,15.2575,-1.968312169186722
P-390,72870.35938,16.1531,-0.43486550866697055
P-391,72185.21094,16.1394,-0.45832265387590393
P-392,132196.2188,17.0123,1.0362570580129928
P-014,102428.6875,16.6443,0.40616731809420376
P-018,119311.9531,16.8644,0.7830226217793265
P-025,169381.0625,17.3699,1.6485399139775603
P-028,90310.35156,16.4626,0.09506050900929552
P-042,131568.4063,17.0055,1.0246140954275398
P-053,80156.47656,16.2905,-0.19960917642554693
P-055,139650.9219,17.0915,1.1718633281259505
P-067,69881.84375,16.0927,-0.5382824116318988
P-068,136148.2656,17.0548,1.1090255741720931
P-072,116829.6328,16.8341,0.7311429502588382
P-074,60635.87109,15.8879,-0.888941049499749
P-080,83476.00781,16.3491,-0.0992742341450029
P-087,145172.0,17.1474,1.267575329379921
P-091,54193.66016,15.7259,-1.1663175110944357
P-093,92880.92188,16.5031,0.16440462440796952
