"ID_REF"	"GSM760507"	"GSM760508"	"GSM760509"	"GSM760510"	"GSM760511"	"GSM760512"	"GSM760513"	"GSM760514"	"GSM760515"	"GSM760516"	"GSM760517"	"GSM760518"	"GSM760519"	"GSM760520"	"GSM760521"	"GSM760522"	"GSM760523"	"GSM760524"	"GSM760525"	"GSM760526"	"GSM760527"	"GSM760528"	"GSM760529"	"GSM760530"	"GSM760531"	"GSM760532"	"GSM760533"	"GSM760534"	"GSM760535"	"GSM760536"	"GSM760537"	"GSM760538"	"GSM760539"	"GSM760540"	"GSM760541"	"GSM760542"	"GSM760543"	"GSM760544"	"GSM760545"	"GSM760546"	"GSM760547"	"GSM760548"	"GSM760549"	"GSM760550"	"GSM760551"	"GSM760552"	"GSM760553"
129	55.2666704	66.54916569	53.50111105	63.67820087	50.96355516	54.20933496	50.67495908	86.45914759	50.3441648	52.30000112	52.31559112	52.27660329	55.96587754	75.49281076	45.25149219	44.99662177	54.20289176	50.92512716	52.61624507	45.40808926	46.76645666	49.23948355	55.87566433	46.35132424	46.97845292	51.86830519	56.2098645	77.53407735	47.95932465	54.24895728	50.03495509	51.67469927	47.32615458	52.24469058	60.48148813	67.38582881	70.78923859	49.56862716	52.97639531	58.39024017	49.43477799	48.8940757	49.22088953	83.04667355	55.35438918	54.57850568	52.91200444
134	256.2549005	260.1764178	276.2777297	199.7112798	199.8442062	252.2377954	225.600534	126.6009936	194.6233362	261.7834705	213.9805146	256.7488474	269.8707568	170.889969	392.4582591	196.1179622	268.5324542	246.3821432	210.825511	202.1752838	234.252208	468.9104372	196.1179622	215.7995256	211.9260295	291.1696809	173.9546801	248.2266111	214.4618262	392.4582591	227.8462486	136.1501471	142.3350569	189.0254372	147.1558741	204.4929933	196.9738421	188.512737	293.8000077	116.8861009	171.4551786	117.5527547	157.8772206	148.1417413	249.4121308	305.0633076	214.3147294
136	118.3014001	101.6899425	115.1684538	140.391245	78.30911995	76.98182558	93.104949	86.45914759	81.9110403	194.9540594	94.38545922	108.166703	103.0551602	67.89672701	69.9064008	126.9204755	129.2096131	123.3004192	142.4105187	185.495511	94.29517796	99.92293999	124.1348604	113.0802602	94.92983933	89.25414786	117.3619354	107.5888104	138.297583	107.086683	98.10503826	64.90668527	61.04370406	57.07710632	97.62830064	84.85547225	82.00899503	75.89774642	127.2577879	58.39024017	61.35978599	63.46945309	84.83271788	74.77729568	95.89168238	153.5861887	107.1165627
143	101.6705463	93.66845426	98.90162387	85.67632512	94.17058083	113.9175685	117.6342139	136.8534973	95.93606313	117.9382411	83.14018358	104.2675076	101.8873365	274.8098584	113.5843715	93.93688278	87.99418109	85.46437728	90.45013255	134.7407297	97.34522731	213.3552249	96.5792086	90.73010783	106.5728931	115.4340768	77.33105845	97.76843367	93.42936328	133.1093605	95.86506871	74.97612347	83.63344963	67.01200855	78.15983567	94.69611814	115.4936532	117.321698	113.7352787	94.69611814	154.7934208	79.42990217	101.220693	98.35932261	113.8512326	125.5946523	94.27498909
148	178.6720765	156.1751117	197.3292758	133.9329598	161.7507467	192.704617	182.6246226	62.6839458	201.3168072	100.3420248	129.432881	208.5948047	195.8261591	124.7852061	192.4679675	162.5252029	166.0039545	181.7338976	139.5431716	122.0274283	231.6429445	122.6046436	264.3807038	241.6799334	309.9197321	203.1884383	171.6383048	199.9709983	203.6951806	328.284418	366.4225792	134.3151651	127.7472906	81.79635019	105.7918311	121.2635203	143.8982733	222.8898174	101.965731	143.359793	148.5578023	74.98570511	109.7085435	98.35932261	126.9204755	155.337563	84.47865141
149	141.0096807	157.1202949	221.4873836	171.0561057	171.5531747	132.4343242	159.3875094	106.0964448	154.154979	185.0279136	146.3684293	155.1618846	168.831523	56.55102033	125.8640334	219.123883	177.1693903	184.9229232	156.0876132	218.7114853	182.5398579	160.1963098	146.5057023	145.3017411	172.5910085	186.923415	119.9100246	179.251821	195.9939355	160.0444495	111.8326333	78.99025901	72.67637302	69.55760059	110.0411	111.2583803	132.1192642	118.9485078	110.1127149	84.61589953	90.45013255	66.77873581	81.80731975	75.53173389	120.8472885	107.924241	72.98378917
159	109.9577813	122.4185434	117.4021867	91.6773461	124.3436338	151.25579	130.7531318	76.24892171	99.74759537	118.4942608	86.05302615	122.4185434	120.3117646	90.45013255	213.160662	115.7823723	124.9690388	124.9690388	114.8198662	110.8827198	110.5509706	214.7852048	99.05072803	112.3953326	133.2949494	121.4294104	112.5903105	126.4976955	95.54057778	174.6328959	62.70985835	71.34120042	76.12717745	91.1412643	76.95961411	92.40477822	90.11234846	103.4232088	74.12263683	71.00876635	97.88045709	59.50744169	57.67642308	72.98784902	115.2777906	109.4724704	68.23049566
169	301.1204727	239.1699445	236.5995806	168.1464329	266.2844679	318.4828084	280.0650138	46.31341365	228.375144	274.5243743	123.614576	255.3647692	218.0167688	527.4546702	393.6904352	309.572358	194.2196239	230.9626668	155.6297519	243.5321127	96.62392811	629.33363	227.0792359	306.2347071	361.0328143	390.3495422	185.8912629	286.8940932	331.5414349	551.468186	356.5588435	168.4338061	190.3760947	92.88657907	155.7086719	267.3671417	236.3620576	345.8157636	228.8996988	256.7488474	241.2612882	191.2358592	241.8537797	140.3158877	257.5325433	231.3778689	243.2743489
170	75.7092767	110.4949097	64.01992616	102.8279836	82.73484577	71.46030431	54.16366442	216.8216206	93.15001769	67.06940474	94.38545922	75.09718236	80.05003315	251.3423533	74.69968987	62.23139747	128.1727608	93.32808254	62.0989249	113.6881021	84.76800153	60.34243005	99.47510312	59.902188	72.5963848	73.62525924	157.4289076	71.29404038	74.01007586	78.9047333	128.5226502	64.90668527	61.84451555	61.80948347	86.92488932	124.5027627	106.9277116	65.45162485	73.43892121	62.59017947	62.08817286	184.9229232	62.50339405	286.2921498	79.56935449	73.73142488	103.8570859
174	468.9104372	421.092831	403.8142654	399.294631	684.5375544	392.4582591	399.294631	267.1165889	259.6582916	472.6436593	381.2362038	299.3892688	297.3553287	846.3730487	407.3126548	365.9497579	216.9960788	329.2619043	343.4407658	417.3492229	351.2057172	424.4869866	299.3892688	270.6816389	240.7232571	384.0617344	344.0192218	343.4407658	296.5175359	196.4373227	379.908312	479.703956	198.9310468	275.6478593	225.2027692	360.4586408	344.5986521	175.651388	312.3981098	157.0152301	182.3312496	158.5452061	248.64104	224.3599407	534.8833987	285.538462	509.7998493
